待修复,编号,测试人员,维修人员,日期,系统,功能优化,快显消息管理,问题描述,补充信息,优先级,待修复,备注,版本号,解决情况,,,,,,
FALSE,,丹丽,,2020/5/7,Android,逻辑错误,快显消息管理,"根据引导发送完快显消息后，没有自动关闭引导蒙版
期望：点击确认发送后，自动关闭引导蒙版",,最重要,验证通过,,,"测试时间：2020.05.0917:07
测试验证已修复，待产品确认",,,,,,
FALSE,,丹丽,,2020/5/7,iOS,界面优化,快显消息管理,我的快显消息发送界面，引导用户发送快显的文案中，发送icon位置有偏差,,最重要,验证通过,,,"测试时间：2020.05.08 14:38
测试验证已修复，待产品确认",,,,,,
FALSE,,广榕,,2020/5/7,iOS,界面优化,快显消息管理,新建模板界面，需要点击模板内容框第一行才能弹出输入键盘,,一般,验证通过,,,"测试时间：2020.05.11 17:47
测试验证已修复",,,,,,
FALSE,,广榕,,2020/5/7,iOS,逻辑错误,快显消息管理,新建模板，不能缩回输入键盘,,最重要,验证通过,,,"测试时间：2020.05.11 17:48
测试验证已修复",,,,,,
FALSE,,广榕,,2020/5/7,iOS,逻辑错误,快显消息管理,发送快显消息界面-点击输入框，弹出的输入键盘无法缩回,,最重要,验证通过,,,"测试时间：2020.05.11 17:48
测试验证已修复",,,,,,
FALSE,,广榕,,2020/5/7,iOS,逻辑错误,快显消息管理,发送按钮不能点击,,最重要,验证通过,,,"测试时间：2020.05.08 21:21
测试验证已修复，待产品确认",,,,,,
FALSE,,广榕,,2020/5/7,iOS,界面优化,联系人分组,发送快显消息，已选择的联系人，在再次进入添加收信人界面，该联系人没有被勾上,,最重要,待修复,,,没这个需求，待后续优化，非bug,,,,,,
FALSE,,广榕,,2020/5/7,iOS,逻辑错误,快显消息管理,快显消息界面-已接收消息界面，点击编辑；然后切换至我的发送记录，左下角的“全部已读”和左上角的权限按钮还在,,最重要,验证通过,,,"测试时间：2020.05.08 14：50
测试验证已修复，待产品确认",,,,,,
TRUE,,清云,,2020/5/7,Android,功能缺失,本地短信接管,消息编辑状态，底部工具栏切换显示缺少置顶入口,,最重要,,,,"置顶这期暂不做
非BUG",,,,,,
TRUE,,广榕,,2020/5/7,Android,功能缺失,本地短信接管,双卡手机，发送普通短信是没有区分区分是卡1还是卡2发出去的,,最重要,,,,"无法区分卡1卡2  只能用主卡发送 产品已知悉 
非BUG",,,,,,
TRUE,,广榕,,2020/5/7,Android,逻辑错误,本地短信接管,双卡手机，发送普通短信，选择卡2，会跳至系统选择会话界面,,最重要,,,,"需求就是这样的
非BUG",,,,,,
FALSE,,广榕,,2020/5/7,Android,逻辑错误,本地短信接管,发送普通短信，空白信息也能发出去,,最重要,验证通过,,,"测试时间：2020.05.11 09:58
测试验证已修复，待产品确认",,,,,,
FALSE,,广榕,,2020/5/7,Android,兼容性问题,本地短信接管,消息管理右上角3个小点展示问题,"华为Nova5 Pro
Android 10",一般,验证通过,,,"测试时间：2020.05.09 17:04
测试验证已修复，待产品确认",,,,,,
,,广榕,,2020/5/7,Android,兼容性问题,本地短信接管,3个分组出现未知图标,,最重要,验证通过,,,"测试时间：2020.05.08 14：50
测试验证已修复，待产品确认",,,,,,
FALSE,,丹丽,,2020/5/8,Android,逻辑错误,快显消息管理,新建模板，输入内容后点击【添加】提示网络错误,,最重要,验证通过,,,"测试时间：2020.05.09 17:03
测试验证已修复，待产品确认",,,,,,
FALSE,,丹丽,,2020/5/8,Android,逻辑错误,快显消息管理,快显消息发送界面，输入键盘推起的情况下没有把输入框和消息模库入口也推起,,最重要,验证通过,,,"测试时间：2020.05.11 10:00
测试验证已修复，待产品确认",,,,,,
FALSE,,丹丽,,2020/5/8,Android,逻辑错误,快显消息管理,我的发送记录首次进入的发送引导，没有自动置入登录手机号为收件人，而且引导界面不需要推起输入框，请优化,,最重要,验证通过,,,"测试时间：2020.05.08 21:23
测试验证已修复，待产品确认",,,,,,
FALSE,,丹丽,,2020/5/8,Android,逻辑错误,快显消息管理,设置快显消息二次发送功能不可用，点击【设置指纹】开关不响应，点击【设置密码】开关，弹出系统激活界面，激活后点击就黑屏，重新亮屏后点击密码弹出，崩溃,高优先级,最重要,已修复待验证,,,,,,,,,
FALSE,,丹丽,,2020/5/8,Android,逻辑错误,本地短信接管,点击【发送普通短信】进入短信发送界面，输入键盘推起时，没有将输入框推起,,最重要,验证通过,,,"测试时间：2020.05.11 10:00
测试验证已修复，待产品确认",,,,,,
FALSE,,东蔚,,2020/5/8,iOS,功能优化,快显消息管理,首次进入快显消息发送界面强提醒，点击发送后的确认发送弹窗，点击【取消】仍留在待发送界面；现修改为该确认发送弹窗仅保留【确定发送】按钮即可。,,一般,验证通过,,,"测试时间：2020.05.11 17:50
测试验证已修复",,,,,,
FALSE,,丹丽,,2020/5/8,Android,功能优化,本地短信接管, ,,最重要,待修复,,,需求文档未提及，非bug,,,,,,
TRUE,,丹丽,,2020/5/8,Android,功能优化,联系人分组,联系人列表和联系人分组增加搜索入口,,最重要,,,,"没有这个需求
非BUG",,,,,,
TRUE,,清云,,2020/5/8,Android,界面优化,快显消息管理,快显消息我的发送记录，界面顶部显示应为今日发送、本月发送及充值,,一般,,,,"设计稿是今日已发，本月已发及充值
非BUG 非bug没问题",,,,,,
TRUE,,丹丽,,2020/5/8,Android,功能优化,本地短信接管,消息快捷编辑入口缺失【置顶】功能,,最重要,,,,非bug,,,,,,
FALSE,,东蔚,,2020/5/8,Android,界面优化,快显消息管理,快显消息发送默认语应为：  提醒：产品试用期限制每日发送数<10，当月发送数<100；实名认证用户支持自定义发送，非实名用户仅支持发送消息模板库中的内容，请勿发送广告、诈骗等违规违法内容，一经发现立即封号并列入通讯黑名单！,,一般,验证通过,,,"测试时间：2020.05.08 21:23
测试验证已修复，待产品确认",,,,,,
FALSE,,丹丽,,2020/5/8,Android,界面优化,快显消息管理,发送快显消息用户输入的发送文字内容需要显示为黑色，现在是灰色,,一般,验证通过,,,"测试时间：2020.05.12 11:53
验证测试通过，待产品确认",,,,,,
FALSE,,丹丽,,2020/5/8,Android,功能优化,快显消息管理,发送快显消息界面，用户没有输入任何内容，仅显示默认提示文案是，输入框不需要显示已输入文字数提示；另外，预置的文字需要显示为浅灰色,,最重要,验证通过,,,"测试时间：2020.05.11 10:01
测试验证已修复，待产品确认",,,,,,
FALSE,,丹丽,,2020/5/8,Android,逻辑错误,快显消息管理,发送快显消息界面，点击选择消息模板库的内容后，返回到发送界面，输入框中显示的已输入文字提示错误，详情见截图,,最重要,验证通过,,,"测试时间：2020.05.09 15:21
测试验证已修复，待产品确认",,,,,,
FALSE,,东蔚,,2020/5/8,iOS,功能缺失,快显消息管理,发送快显消息界面，右上角应有设置按钮，点击进入发送的二次认证设置。补充信息为设计稿,,一般,验证通过,,,"测试时间：2020.05.11 10:02
测试验证已修复，待产品确认",,,,,,
FALSE,,丹丽,,2020/5/8,Android,逻辑错误,快显消息管理,快显二次认证设置，跳转到系统激活弹窗，一旦激活后，在手机界面做拖拽卸载会卸载失败，只能到设置的应用管理中卸载,超高优先级,最重要,验证通过,会有投诉风险,,"测试时间：2020.05.11 09:02
测试验证已修复，待产品确认",,,,,,
TRUE,,丹丽,,2020/5/8,Android,逻辑错误,快显消息管理,每日限制可发送10条，添加了11个联系人，没有预警提示,,最重要,待修复,根据接口查出每日剩余条数，并不限制于10 条,,"根据接口查出每日剩余条数，并不限制于10 条
非BUG",,,,,,
FALSE,,东蔚,,2020/5/8,iOS,界面优化,,底部栏图标往下4px，文字往上6px,,一般,待修复,,,待重新打包,,,mark,,,
FALSE,,广榕,,2020/5/8,Android,逻辑错误,,SIM快捷登录失败，且一直处于请求发送中。无法继续操作，只能强制杀掉进程,,最重要,待修复,,,,,,,,,
FALSE,,丹丽,,2020/5/8,Android,功能优化,快显消息管理,进入快显消息已接收消息界面，会出现加载中的等待提示，加载很长时间，但没有加载到任何消息,中午的提测包,最重要,待修复,,,接口返回时间长，性能问题后续优化,,,,,,
FALSE,,丹丽,,2020/5/8,Android,逻辑错误,本地短信接管,消息管理主页的分组显示没有显示最新一条消息简报,,最重要,验证通过,,,"测试时间：2020.05.09 17:00
测试验证已修复，待产品确认",,,,,,
FALSE,,丹丽,,2020/5/8,Android,界面优化,本地短信接管,每次退出重启进入消息管理界面都会重新全量刷新，体验差,跟其他短信管理APP体验保持一致，如短信夹,最重要,待修复,,,"按现有需求只能全量获取
非BUG",,,,,,
FALSE,,广榕,,2020/5/8,Android,功能优化,快显消息管理,编辑我的模板，编辑页标题是新建模板，建议改一下标题,,一般,验证通过,,,"测试时间：2020.05.12 11:55
验证测试通过，待产品确认",,,,,,
FALSE,,广榕,,2020/5/8,Android,功能优化,快显消息管理,新建和编辑模板时，敏感词校验不通过，只是提示模板添加失败，无法感知为何添加模板失败,,最重要,待修复,,,需求文档未提及，非bug,,,,,,
FALSE,,丹丽,,2020/5/8,Android,逻辑错误,快显消息管理,收件人为空时，发送快显消息失败没有正常提示，一致显示“发送中，请耐心等候”,无法发送的情况正常返回发送失败提示,最重要,未复现,,,手机号为空的时候没办法发消息，问题不存在,,,,,,
FALSE,,清云,,2020/5/8,Android,界面优化,本地短信接管,消息主界面点击未读，没有未读消息显示无短信消息内容，不需引导前往设置授权获取,,最重要,待修复,,,"需求文档并未提及
非BUG",待重新打包,,mark,,,
TRUE,,广榕,莫南,2020/5/8,Android,逻辑错误,,通用设置-快显消息显示次数限制设置失败,,最重要,验证通过,,Android 2.1.5,"测试时间:2020.05.08 15:29
测试验证通过，待产品验证",,,,,,
FALSE,,清云,,2020/5/8,Android,逻辑错误,快显消息管理,发送快显消息-自定义消息，设置二次认证，指纹授权失败后，点击取消或密码认证出现APP闪退,,最重要,已修复待验证,,,,,,,,,
FALSE,,东蔚,,2020/5/8,iOS,功能缺失,快显消息管理,我的模板中icon缺失,,一般,验证通过,,,"测试时间：2020.05.11 17:51
测试验证已修复",,,,,,
FALSE,,丹丽,,2020/5/8,Android,逻辑错误,快显消息管理,点击审核中的消息模块会APP闪退,崩溃问题需要尽快修复,最重要,验证通过,,,"测试时间：2020.05.11 10:43
测试验证已修复，待产品确认",,,,,,
